,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
36,2020 may. 11 08:53:46,0 days 12 hours 52 min 25 sec,1 km,277 m,5 cm,6240,2496,1228,0,675,2170,0,0,0 days 17 hours 37 min 12 sec
37,2020 may. 12 00:08:39,0 days 15 hours 9 min 59 sec,1 km,88 m,49 cm,17972,3751,26,2,345,11072,0,0,0 days 7 hours 12 min 50 sec
38,2020 may. 13 09:05:17,1 days 9 hours 28 min 33 sec,1 km,741 m,16 cm,28023,5997,32,3,527,22165,0,0,0 days 20 hours 37 min 34 sec
39,2020 may. 14 01:46:31,0 days 16 hours 37 min 34 sec,1 km,362 m,11 cm,18474,4234,29,3,539,15801,0,0,0 days 8 hours 17 min 34 sec
40,2020 may. 15 00:00:02,1 days 14 hours 49 min 35 sec,3 km,623 m,60 cm,48687,9934,5120,5,3242,28387,0,0,0 days 18 hours 10 min 33 sec
41,2020 may. 16 00:21:31,2 days 6 hours 38 min 53 sec,4 km,462 m,50 cm,63723,12503,5152,13,3417,40175,0,0,1 days 11 hours 26 min 21 sec
42,2020 may. 17 00:00:05,3 days 6 hours 16 min 33 sec,5 km,504 m,18 cm,65307,13795,5934,13,3774,41841,0,0,2 days 7 hours 18 min 13 sec
43,2020 may. 18 00:12:30,0 days 4 hours 39 min 24 sec,1 km,139 m,93 cm,6401,2146,1621,0,659,925,0,0,0 days 2 hours 19 min 27 sec
44,2020 may. 18 21:51:31,0 days 22 hours 27 min 25 sec,1 km,931 m,97 cm,31712,5000,1638,1,844,10282,0,0,0 days 13 hours 1 min 47 sec
45,2020 may. 19 00:00:32,1 days 0 hours 36 min 26 sec,2 km,150 m,65 cm,34934,5330,1641,1,878,10571,0,0,0 days 13 hours 44 min 44 sec
46,2020 may. 20 02:56:31,1 days 16 hours 29 min 27 sec,3 km,36 m,82 cm,43273,7813,1653,4,1062,20525,0,0,1 days 1 hours 54 min 23 sec
47,2020 may. 21 08:59:15,2 days 22 hours 30 min 54 sec,4 km,113 m,94 cm,56350,11590,1665,4,1282,32893,0,0,1 days 19 hours 34 min 57 sec
48,2020 may. 22 01:58:32,3 days 15 hours 30 min 11 sec,5 km,536 m,25 cm,73087,15564,5754,4,3578,41847,0,0,2 days 0 hours 59 min 46 sec
49,2020 may. 23 20:16:54,4 days 8 hours 9 min 47 sec,6 km,362 m,53 cm,84795,18509,5806,4,3770,50462,0,0,2 days 15 hours 33 min 14 sec
