,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
159,2020 sep. 14 08:34:44,34 days 4 hours 11 min 53 sec,40 km,414 m,16 cm,379988,120423,16238,172,16048,287864,0,0,26 days 8 hours 1 min 14 sec
160,2020 sep. 15 08:52:05,35 days 4 hours 29 min 13 sec,41 km,204 m,76 cm,390401,123324,16262,174,16276,296708,0,0,27 days 2 hours 50 min 34 sec
161,2020 sep. 16 00:29:31,35 days 20 hours 6 min 40 sec,42 km,388 m,58 cm,401665,127941,16380,178,16778,310863,0,0,27 days 11 hours 26 min 41 sec
162,2020 sep. 17 00:00:11,36 days 19 hours 37 min 20 sec,44 km,6 m,93 cm,416795,133506,17425,183,17893,322592,0,0,28 days 4 hours 12 min 11 sec
163,2020 sep. 18 00:00:41,37 days 19 hours 37 min 49 sec,44 km,890 m,90 cm,432320,137156,17460,188,18269,333938,0,0,28 days 21 hours 22 min 20 sec
164,2020 sep. 19 00:00:54,38 days 19 hours 38 min 3 sec,45 km,698 m,93 cm,436447,139039,17472,188,18438,341105,0,0,29 days 16 hours 20 min 55 sec
165,2020 sep. 20 10:13:54,39 days 7 hours 42 min 28 sec,46 km,628 m,70 cm,440362,141617,18617,190,19193,343269,0,0,30 days 14 hours 49 min 4 sec
166,2020 sep. 21 08:08:22,39 days 14 hours 40 min 12 sec,47 km,616 m,75 cm,442529,142557,18622,201,19272,345929,0,0,31 days 8 hours 11 min 2 sec
167,2020 sep. 22 00:42:31,40 days 7 hours 14 min 20 sec,48 km,519 m,93 cm,454499,146100,18646,209,19508,357664,0,0,31 days 17 hours 17 min 59 sec
168,2020 sep. 23 08:36:47,41 days 15 hours 8 min 36 sec,49 km,71 m,42 cm,469194,148414,18651,211,19719,364355,0,0,32 days 6 hours 52 min 38 sec
169,2020 sep. 24 00:00:48,42 days 6 hours 32 min 37 sec,49 km,965 m,44 cm,480236,152037,18698,217,20129,374998,0,0,33 days 6 hours 12 min 44 sec
170,2020 sep. 25 00:10:32,43 days 6 hours 42 min 21 sec,50 km,763 m,9 cm,490978,154524,18723,223,20343,381308,0,0,33 days 23 hours 24 min 34 sec
171,2020 sep. 25 08:32:23,43 days 14 hours 56 min 21 sec,50 km,763 m,9 cm,490978,154524,18723,223,20343,381308,0,0,33 days 23 hours 24 min 34 sec
172,2020 sep. 26 00:00:23,44 days 6 hours 24 min 21 sec,52 km,484 m,36 cm,504215,159659,19821,223,21241,393595,0,0,34 days 8 hours 12 min 52 sec
173,2020 sep. 27 00:00:57,44 days 21 hours 28 min 53 sec,55 km,202 m,89 cm,512245,164117,21152,232,22137,402090,0,0,34 days 22 hours 56 min 27 sec
174,2020 sep. 28 08:39:05,45 days 0 hours 18 min 15 sec,55 km,250 m,68 cm,512453,164303,21152,232,22152,402284,0,0,35 days 1 hours 33 min 19 sec
175,2020 sep. 29 00:00:30,45 days 15 hours 39 min 39 sec,56 km,241 m,9 cm,522192,168621,21619,233,22570,412155,0,0,35 days 9 hours 24 min 21 sec
176,2020 sep. 30 00:28:31,46 days 16 hours 7 min 41 sec,57 km,204 m,47 cm,536440,171413,21658,236,22864,421153,0,0,36 days 1 hours 53 min 17 sec
177,2020 sep. 30 19:19:48,47 days 9 hours 11 min 41 sec,58 km,84 m,14 cm,548966,174191,21735,267,23077,430113,0,0,36 days 14 hours 9 min 33 sec
178,2020 oct. 01 00:30:32,47 days 14 hours 22 min 25 sec,58 km,191 m,46 cm,551278,174540,21738,267,23092,431410,0,0,36 days 18 hours 26 min 27 sec
179,2020 oct. 02 02:05:32,48 days 15 hours 57 min 24 sec,59 km,199 m,89 cm,565580,180431,22655,269,23793,441682,0,0,37 days 12 hours 33 min 12 sec
180,2020 oct. 03 00:00:36,49 days 13 hours 52 min 29 sec,60 km,101 m,76 cm,576133,185340,23235,273,24444,450347,0,0,38 days 3 hours 34 min 2 sec
181,2020 oct. 04 21:11:06,50 days 13 hours 50 min 25 sec,60 km,689 m,2 cm,578948,188337,23963,274,24926,451539,0,0,38 days 23 hours 10 min 33 sec
182,2020 oct. 05 08:01:37,50 days 16 hours 7 min 5 sec,62 km,96 m,66 cm,583005,192407,26208,274,26585,451846,0,0,39 days 8 hours 10 min 7 sec
183,2020 oct. 06 00:07:33,51 days 8 hours 13 min 0 sec,63 km,428 m,17 cm,593826,195065,26227,275,26779,459622,0,0,39 days 16 hours 11 min 6 sec
184,2020 oct. 07 00:36:33,52 days 8 hours 42 min 0 sec,64 km,144 m,91 cm,609423,199590,27042,282,27320,467637,0,0,40 days 10 hours 3 min 40 sec
185,2020 oct. 07 18:27:50,53 days 2 hours 27 min 27 sec,64 km,857 m,66 cm,618646,201714,27075,283,27505,473277,0,0,40 days 22 hours 25 min 2 sec
186,2020 oct. 08 00:50:31,53 days 8 hours 50 min 7 sec,64 km,868 m,62 cm,618661,201757,27078,283,27512,473340,0,0,41 days 4 hours 44 min 42 sec
187,2020 oct. 09 07:27:18,54 days 15 hours 26 min 54 sec,65 km,467 m,37 cm,628683,203760,27106,288,27660,478729,0,0,42 days 4 hours 15 min 50 sec
188,2020 oct. 10 00:00:18,55 days 7 hours 59 min 54 sec,66 km,796 m,20 cm,640970,208285,27198,288,28077,491228,0,0,42 days 14 hours 4 min 55 sec
189,2020 oct. 10 22:15:44,56 days 2 hours 8 min 2 sec,66 km,861 m,44 cm,642668,210140,27700,288,28428,491805,0,0,43 days 4 hours 13 min 12 sec
190,2020 oct. 11 00:00:44,56 days 3 hours 53 min 2 sec,67 km,107 m,79 cm,642940,210656,27700,288,28474,492559,0,0,43 days 4 hours 48 min 51 sec
191,2020 oct. 12 00:00:35,57 days 3 hours 52 min 53 sec,68 km,0 m,42 cm,643662,211099,27701,288,28510,493353,0,0,44 days 0 hours 27 min 54 sec
192,2020 oct. 13 08:14:38,57 days 17 hours 39 min 44 sec,68 km,903 m,95 cm,644296,212418,27711,295,28598,496688,0,0,44 days 19 hours 49 min 2 sec
193,2020 oct. 13 09:20:44,57 days 18 hours 41 min 43 sec,68 km,963 m,69 cm,644960,212643,27723,295,28610,497284,0,0,44 days 20 hours 23 min 33 sec
194,2020 oct. 14 00:47:32,58 days 10 hours 8 min 31 sec,69 km,695 m,30 cm,659873,215294,27758,301,28808,506514,0,0,45 days 6 hours 51 min 13 sec
195,2020 oct. 15 00:00:33,59 days 9 hours 21 min 32 sec,70 km,291 m,64 cm,671447,217080,27779,305,28917,512058,0,0,46 days 1 hours 26 min 20 sec
196,2020 oct. 16 00:15:33,60 days 9 hours 36 min 31 sec,71 km,98 m,72 cm,680144,219297,27797,306,29083,519918,0,0,46 days 20 hours 55 min 17 sec
197,2020 oct. 17 12:39:36,61 days 9 hours 6 min 24 sec,72 km,373 m,77 cm,690811,222169,27853,309,29322,527922,0,0,47 days 12 hours 17 min 46 sec
198,2020 oct. 18 00:00:53,61 days 20 hours 27 min 40 sec,72 km,593 m,39 cm,691384,222259,27853,309,29325,528075,0,0,47 days 22 hours 25 min 43 sec
199,2020 oct. 21 09:00:34,62 days 7 hours 18 min 42 sec,72 km,593 m,52 cm,691384,222259,27853,309,29325,528075,0,0,48 days 18 hours 29 min 47 sec
200,2020 oct. 22 00:00:30,62 days 22 hours 18 min 37 sec,73 km,435 m,79 cm,705392,225455,27892,310,29630,536986,0,0,49 days 4 hours 22 min 40 sec
201,2020 oct. 23 00:07:32,63 days 22 hours 25 min 39 sec,74 km,630 m,41 cm,714740,228440,27917,328,29900,545935,0,0,49 days 21 hours 41 min 48 sec
202,2020 oct. 24 00:00:32,64 days 22 hours 18 min 39 sec,75 km,610 m,36 cm,725205,231623,27970,333,30126,556496,0,0,50 days 16 hours 26 min 40 sec
203,2020 oct. 25 20:32:51,65 days 1 hours 31 min 33 sec,75 km,616 m,27 cm,725211,231634,27970,333,30126,556496,0,0,51 days 1 hours 47 min 20 sec
204,2020 oct. 26 08:46:09,65 days 4 hours 13 min 2 sec,76 km,229 m,26 cm,729133,232514,28008,334,30444,557336,0,0,51 days 2 hours 55 min 50 sec
205,2020 oct. 27 06:51:53,66 days 2 hours 18 min 46 sec,76 km,890 m,80 cm,736399,234310,28013,339,30564,566638,0,0,51 days 20 hours 27 min 33 sec
206,2020 oct. 28 08:02:20,67 days 3 hours 29 min 13 sec,78 km,57 m,16 cm,753397,237189,28050,344,30763,574621,0,0,52 days 5 hours 57 min 8 sec
207,2020 oct. 29 00:00:22,67 days 19 hours 27 min 15 sec,79 km,115 m,93 cm,763176,240815,28077,347,31018,587661,0,0,53 days 0 hours 18 min 8 sec
208,2020 oct. 30 00:00:24,68 days 19 hours 27 min 16 sec,79 km,930 m,23 cm,772055,243266,28089,348,31199,596248,0,0,53 days 19 hours 10 min 24 sec
209,2020 oct. 31 00:00:33,69 days 19 hours 26 min 14 sec,82 km,194 m,16 cm,787758,248223,30504,354,32491,604052,0,0,54 days 11 hours 20 min 58 sec
210,2020 nov. 01 00:00:51,70 days 12 hours 15 min 22 sec,83 km,867 m,74 cm,804698,251757,39752,366,36712,609472,0,0,54 days 22 hours 33 min 0 sec
211,2020 nov. 07 09:59:08,71 days 1 hours 34 min 54 sec,84 km,617 m,90 cm,811608,253368,40664,368,37231,610816,0,0,55 days 18 hours 21 min 4 sec
212,2020 nov. 08 00:00:08,71 days 15 hours 35 min 54 sec,85 km,762 m,97 cm,816755,255311,40713,377,37743,614813,0,0,56 days 3 hours 27 min 44 sec
213,2020 nov. 09 00:00:14,72 days 15 hours 35 min 59 sec,86 km,234 m,54 cm,817727,255763,40714,379,37773,616870,0,0,57 days 0 hours 38 min 10 sec
214,2020 nov. 10 07:36:32,73 days 16 hours 17 min 48 sec,87 km,670 m,41 cm,838018,259083,40727,385,37970,629515,0,0,57 days 16 hours 46 min 26 sec
215,2020 nov. 11 00:00:32,74 days 8 hours 41 min 49 sec,88 km,846 m,89 cm,851811,263532,40818,386,38334,644393,0,0,58 days 1 hours 46 min 27 sec
216,2020 nov. 12 00:00:32,75 days 8 hours 41 min 49 sec,89 km,848 m,66 cm,862481,266475,40838,389,38561,654242,0,0,58 days 19 hours 53 min 29 sec
217,2020 nov. 13 00:00:49,76 days 8 hours 40 min 17 sec,90 km,632 m,49 cm,870225,270009,41789,390,39386,661463,0,0,59 days 14 hours 54 min 42 sec
218,2020 nov. 14 00:00:50,77 days 8 hours 40 min 19 sec,91 km,434 m,81 cm,880953,273582,42408,391,39948,667981,0,0,60 days 9 hours 42 min 1 sec
219,2020 nov. 15 11:59:10,78 days 13 hours 33 min 13 sec,92 km,60 m,98 cm,886365,273893,42413,391,39980,668586,0,0,61 days 17 hours 57 min 41 sec
220,2020 nov. 16 08:25:03,78 days 19 hours 14 min 2 sec,92 km,639 m,43 cm,890890,274531,45512,391,41278,668996,0,0,62 days 3 hours 29 min 58 sec
221,2020 nov. 17 00:00:05,79 days 10 hours 49 min 3 sec,93 km,871 m,90 cm,910659,278362,45523,396,41542,681399,0,0,62 days 11 hours 44 min 23 sec
222,2020 nov. 18 00:00:08,80 days 10 hours 49 min 6 sec,94 km,442 m,70 cm,922958,280321,45536,397,41667,685780,0,0,63 days 7 hours 16 min 22 sec
223,2020 nov. 19 08:46:42,81 days 19 hours 34 min 27 sec,95 km,201 m,47 cm,935090,282938,45557,403,41860,693608,0,0,64 days 10 hours 50 min 47 sec
224,2020 nov. 20 00:00:01,82 days 10 hours 47 min 46 sec,95 km,479 m,79 cm,944396,283815,45567,405,41905,697512,0,0,64 days 23 hours 37 min 16 sec
225,2020 nov. 21 11:04:40,83 days 21 hours 52 min 25 sec,96 km,148 m,9 cm,954700,285686,45570,408,41996,703096,0,0,66 days 6 hours 14 min 29 sec
226,2020 nov. 22 00:00:42,84 days 10 hours 48 min 27 sec,96 km,496 m,51 cm,956613,286879,45574,411,42159,705263,0,0,66 days 17 hours 16 min 8 sec
227,2020 nov. 24 08:55:26,84 days 11 hours 24 min 15 sec,96 km,504 m,40 cm,956619,286899,45574,411,42162,705301,0,0,66 days 17 hours 46 min 28 sec
228,2020 nov. 25 00:00:51,85 days 2 hours 29 min 39 sec,97 km,154 m,59 cm,961268,288790,45586,416,42294,711245,0,0,66 days 22 hours 10 min 31 sec
229,2020 nov. 25 15:27:57,85 days 17 hours 13 min 40 sec,97 km,427 m,52 cm,963603,289644,45586,419,42343,715083,0,0,67 days 11 hours 0 min 53 sec
230,2020 nov. 26 09:04:09,86 days 10 hours 49 min 52 sec,97 km,992 m,42 cm,967247,290669,45595,422,42406,717482,0,0,67 days 15 hours 49 min 51 sec
231,2020 nov. 27 09:07:30,87 days 10 hours 53 min 12 sec,98 km,969 m,98 cm,980330,293457,45614,427,42600,729128,0,0,68 days 19 hours 20 min 37 sec
232,2020 nov. 28 11:10:18,88 days 12 hours 56 min 0 sec,99 km,643 m,31 cm,990322,295490,45627,429,42751,736002,0,0,69 days 16 hours 59 min 6 sec
233,2020 nov. 29 14:18:22,89 days 16 hours 4 min 4 sec,99 km,810 m,34 cm,990819,295490,45627,429,42751,736002,0,0,69 days 20 hours 45 min 23 sec
234,2020 nov. 30 08:59:38,90 days 10 hours 45 min 20 sec,100 km,82 m,57 cm,993392,295490,45627,429,42751,736002,0,0,71 days 12 hours 16 min 16 sec
235,2020 dic. 01 00:00:24,91 days 1 hours 42 min 18 sec,100 km,892 m,94 cm,999199,296835,45637,439,42850,741049,0,0,71 days 17 hours 56 min 40 sec
236,2020 dic. 07 21:57:18,91 days 19 hours 38 min 6 sec,101 km,524 m,72 cm,1005979,298591,45653,442,42948,745263,0,0,74 days 3 hours 24 min 1 sec
237,2020 dic. 08 09:22:08,92 days 7 hours 2 min 56 sec,101 km,571 m,19 cm,1007617,298707,45653,442,42955,745591,0,0,74 days 14 hours 26 min 28 sec
238,2020 dic. 09 08:35:36,93 days 6 hours 16 min 24 sec,102 km,59 m,56 cm,1008305,299290,45654,446,43030,747122,0,0,75 days 0 hours 55 min 27 sec
239,2020 dic. 10 09:20:53,93 days 17 hours 17 min 26 sec,102 km,586 m,13 cm,1014010,301023,45665,447,43126,752853,0,0,75 days 17 hours 14 min 23 sec
240,2020 dic. 11 00:00:42,94 days 7 hours 55 min 32 sec,103 km,191 m,18 cm,1024684,302891,45680,448,43244,759019,0,0,75 days 23 hours 48 min 52 sec
241,2020 dic. 12 02:57:09,95 days 10 hours 51 min 59 sec,103 km,893 m,97 cm,1033042,305257,45699,449,43430,765136,0,0,76 days 14 hours 8 min 17 sec
242,2020 dic. 13 00:00:51,96 days 7 hours 55 min 42 sec,104 km,665 m,59 cm,1037961,308983,45811,454,44104,770196,0,0,77 days 14 hours 34 min 0 sec
243,2020 dic. 15 08:19:40,97 days 1 hours 12 min 11 sec,104 km,868 m,50 cm,1038131,309211,45855,454,44120,770742,0,0,79 days 21 hours 23 min 16 sec
244,2020 dic. 16 08:09:12,98 days 1 hours 1 min 43 sec,105 km,482 m,15 cm,1046458,311274,45876,455,44221,778079,0,0,80 days 6 hours 58 min 25 sec
245,2020 dic. 17 08:47:31,99 days 1 hours 40 min 2 sec,106 km,85 m,4 cm,1053967,313061,45900,463,44320,784010,0,0,80 days 14 hours 6 min 39 sec
246,2020 dic. 17 12:33:00,99 days 5 hours 15 min 1 sec,106 km,487 m,6 cm,1057713,314540,45908,464,44393,787788,0,0,80 days 15 hours 29 min 3 sec
247,2020 dic. 18 09:00:56,100 days 1 hours 42 min 57 sec,106 km,795 m,2 cm,1060377,315314,45909,467,44433,790016,0,0,81 days 10 hours 1 min 11 sec
248,2020 dic. 19 00:00:55,100 days 16 hours 42 min 55 sec,107 km,641 m,84 cm,1070705,317741,45926,472,44546,796443,0,0,81 days 19 hours 4 min 40 sec
249,2020 dic. 20 00:00:58,101 days 16 hours 42 min 59 sec,108 km,163 m,89 cm,1071123,317902,45926,474,44553,797095,0,0,82 days 15 hours 59 min 44 sec
250,2020 dic. 21 08:57:21,103 days 1 hours 39 min 22 sec,108 km,289 m,8 cm,1071240,318308,45932,476,44578,797924,0,0,84 days 0 hours 3 min 2 sec
251,2020 dic. 22 08:53:57,104 days 1 hours 35 min 58 sec,109 km,170 m,0 cm,1081446,321403,45942,497,44779,805767,0,0,84 days 8 hours 12 min 35 sec
252,2020 dic. 23 10:31:05,105 days 3 hours 13 min 5 sec,110 km,20 m,44 cm,1090761,324839,45946,504,45125,814152,0,0,85 days 3 hours 29 min 34 sec
253,2020 dic. 24 00:00:07,105 days 16 hours 42 min 7 sec,110 km,413 m,94 cm,1095340,326018,45950,514,45190,818060,0,0,86 days 0 hours 21 min 56 sec
254,2020 dic. 25 14:19:54,106 days 5 hours 31 min 24 sec,110 km,433 m,51 cm,1095398,326066,45950,514,45192,818221,0,0,87 days 14 hours 32 min 57 sec
255,2020 dic. 26 11:49:41,107 days 3 hours 1 min 10 sec,111 km,131 m,21 cm,1097233,327229,46892,514,45596,819171,0,0,88 days 10 hours 47 min 56 sec
256,2020 dic. 27 18:18:43,107 days 3 hours 59 min 29 sec,111 km,157 m,34 cm,1097307,327291,46892,514,45599,819445,0,0,89 days 17 hours 8 min 18 sec
257,2020 dic. 28 09:02:07,107 days 18 hours 42 min 53 sec,111 km,365 m,53 cm,1098400,327815,46897,515,45641,821189,0,0,89 days 21 hours 0 min 1 sec
258,2020 dic. 29 06:55:13,108 days 16 hours 35 min 59 sec,112 km,418 m,31 cm,1105620,329920,46906,518,45737,830516,0,0,90 days 21 hours 11 min 32 sec
259,2020 dic. 30 08:50:19,109 days 18 hours 31 min 5 sec,113 km,98 m,27 cm,1119448,332216,46913,519,45919,837092,0,0,91 days 17 hours 37 min 22 sec
260,2020 dic. 31 00:00:49,110 days 9 hours 40 min 24 sec,113 km,699 m,4 cm,1125748,334274,46925,520,45994,843300,0,0,92 days 4 hours 55 min 11 sec
261,2021 ene. 01 12:03:07,111 days 4 hours 45 min 45 sec,114 km,430 m,91 cm,1126852,335513,47790,520,46415,843577,0,0,93 days 15 hours 4 min 8 sec
262,2021 ene. 02 12:20:33,111 days 19 hours 40 min 8 sec,114 km,917 m,86 cm,1127538,336278,48287,520,46602,843982,0,0,94 days 14 hours 35 min 19 sec
263,2021 ene. 03 12:32:50,112 days 19 hours 52 min 24 sec,115 km,527 m,1 cm,1131707,337919,48297,524,46735,846629,0,0,95 days 12 hours 10 min 49 sec
264,2021 ene. 04 00:00:50,113 days 7 hours 20 min 25 sec,116 km,870 m,79 cm,1135484,339292,48306,530,46796,851006,0,0,95 days 17 hours 9 min 46 sec
265,2021 ene. 05 09:26:28,114 days 16 hours 46 min 3 sec,117 km,30 m,21 cm,1136699,339622,48309,530,46806,853303,0,0,97 days 1 hours 28 min 6 sec
266,2021 ene. 06 00:00:29,115 days 7 hours 20 min 3 sec,117 km,246 m,36 cm,1137427,340010,48312,530,46830,854110,0,0,97 days 14 hours 55 min 42 sec
267,2021 ene. 07 00:00:15,115 days 20 hours 38 min 34 sec,117 km,762 m,74 cm,1137909,340820,48742,530,46978,854709,0,0,98 days 14 hours 1 min 42 sec
268,2021 ene. 08 00:00:22,116 days 20 hours 38 min 41 sec,118 km,229 m,53 cm,1139400,341731,48747,530,47094,857217,0,0,99 days 11 hours 30 min 38 sec
269,2021 ene. 09 22:24:40,118 days 9 hours 15 min 49 sec,118 km,306 m,62 cm,1139868,341970,48747,530,47097,858189,0,0,100 days 23 hours 35 min 5 sec
270,2021 ene. 10 09:27:34,118 days 20 hours 18 min 43 sec,118 km,313 m,83 cm,1139872,341989,48747,530,47097,858298,0,0,101 days 10 hours 33 min 32 sec
271,2021 ene. 11 00:00:39,119 days 10 hours 51 min 48 sec,118 km,976 m,55 cm,1140368,343090,48747,538,47167,860043,0,0,101 days 21 hours 41 min 16 sec
272,2021 ene. 13 10:59:39,120 days 1 hours 50 min 56 sec,119 km,483 m,97 cm,1145958,344738,48756,539,47237,867399,0,0,102 days 9 hours 15 min 12 sec
273,2021 ene. 14 08:43:37,120 days 23 hours 34 min 54 sec,120 km,457 m,39 cm,1155466,346892,48768,540,47377,872170,0,0,103 days 1 hours 27 min 15 sec
274,2021 ene. 14 11:26:43,121 days 2 hours 5 min 53 sec,120 km,700 m,77 cm,1159058,347901,48802,540,47444,874377,0,0,103 days 2 hours 10 min 49 sec
275,2021 ene. 14 14:53:53,121 days 5 hours 27 min 53 sec,120 km,901 m,71 cm,1160398,348655,48805,540,47498,877154,0,0,103 days 3 hours 49 min 53 sec
276,2021 ene. 15 00:00:53,121 days 14 hours 34 min 52 sec,121 km,685 m,80 cm,1163237,350587,49433,541,47813,879859,0,0,103 days 10 hours 42 min 26 sec
277,2021 ene. 16 10:47:56,122 days 10 hours 25 min 37 sec,122 km,377 m,69 cm,1171812,352766,49454,542,47952,885804,0,0,103 days 19 hours 2 min 6 sec
278,2021 ene. 17 20:54:16,123 days 20 hours 31 min 57 sec,122 km,983 m,93 cm,1174133,353340,49457,545,47995,887059,0,0,105 days 1 hours 57 min 20 sec
279,2021 ene. 18 00:00:15,123 days 23 hours 37 min 56 sec,123 km,306 m,86 cm,1174326,353514,49457,545,48013,887254,0,0,105 days 3 hours 23 min 32 sec
280,2021 ene. 19 07:40:44,125 days 7 hours 18 min 25 sec,124 km,107 m,46 cm,1185972,356157,49474,548,48173,895961,0,0,106 days 5 hours 44 min 30 sec
281,2021 ene. 20 00:00:44,125 days 23 hours 38 min 24 sec,124 km,932 m,87 cm,1196958,358109,49494,550,48277,900330,0,0,106 days 16 hours 37 min 11 sec
282,2021 ene. 21 00:00:07,126 days 23 hours 37 min 48 sec,126 km,47 m,13 cm,1209251,361591,49666,556,48715,909559,0,0,107 days 9 hours 23 min 57 sec
283,2021 ene. 22 00:00:24,127 days 23 hours 38 min 5 sec,126 km,996 m,70 cm,1218473,363490,49670,557,48803,915944,0,0,108 days 3 hours 12 min 23 sec
284,2021 ene. 23 00:12:42,128 days 18 hours 50 min 35 sec,127 km,508 m,0 cm,1224815,364975,49673,559,48856,921067,0,0,108 days 23 hours 29 min 53 sec
285,2021 ene. 25 08:53:23,130 days 9 hours 6 min 27 sec,128 km,225 m,94 cm,1228253,366329,50260,559,49162,923434,0,0,109 days 8 hours 58 min 0 sec
286,2021 ene. 26 00:00:26,131 days 0 hours 13 min 29 sec,129 km,185 m,23 cm,1236647,368924,50287,562,49299,935129,0,0,111 days 4 hours 55 min 47 sec
287,2021 ene. 27 09:10:52,132 days 9 hours 23 min 55 sec,130 km,198 m,85 cm,1247171,372930,50335,568,49789,947480,0,0,112 days 7 hours 28 min 16 sec
288,2021 ene. 28 08:05:17,133 days 8 hours 18 min 20 sec,130 km,862 m,28 cm,1255784,374659,50346,569,49897,955821,0,0,113 days 1 hours 51 min 8 sec
289,2021 ene. 30 14:02:26,135 days 14 hours 15 min 29 sec,131 km,514 m,52 cm,1262431,377165,50389,571,50136,964250,0,0,113 days 7 hours 36 min 27 sec
290,2021 ene. 31 17:00:15,136 days 17 hours 13 min 18 sec,131 km,761 m,31 cm,1263135,377506,50398,571,50188,964993,0,0,116 days 5 hours 38 min 52 sec
291,2021 feb. 01 00:00:15,137 days 0 hours 13 min 18 sec,132 km,604 m,76 cm,1268225,378472,50409,572,50297,966726,0,0,115 days 7 hours 56 min 41 sec
292,2021 feb. 02 08:45:33,137 days 15 hours 27 min 30 sec,133 km,576 m,72 cm,1280761,381168,50433,573,50466,975254,0,0,116 days 10 hours 9 min 50 sec
293,2021 feb. 03 08:51:26,137 days 18 hours 4 min 43 sec,133 km,748 m,58 cm,1283154,381729,50433,573,50484,976981,0,0,116 days 11 hours 30 min 56 sec
294,2021 feb. 04 00:00:28,138 days 9 hours 13 min 44 sec,134 km,568 m,66 cm,1289363,384370,50464,577,50694,985978,0,0,116 days 21 hours 42 min 46 sec
295,2021 feb. 05 00:00:30,139 days 9 hours 13 min 46 sec,135 km,838 m,83 cm,1306116,387398,50477,584,50922,993778,0,0,117 days 14 hours 25 min 50 sec
296,2021 feb. 05 12:43:40,139 days 21 hours 42 min 35 sec,136 km,212 m,61 cm,1310511,388074,50507,584,50958,995861,0,0,118 days 0 hours 32 min 30 sec
297,2021 feb. 06 00:00:41,140 days 8 hours 59 min 35 sec,136 km,606 m,52 cm,1317227,389398,50514,585,51030,999151,0,0,118 days 9 hours 11 min 19 sec
298,2021 feb. 07 20:17:30,142 days 5 hours 16 min 24 sec,136 km,613 m,44 cm,1317227,389411,50514,585,51030,999151,0,0,120 days 5 hours 27 min 25 sec
299,2021 feb. 08 08:24:03,142 days 8 hours 8 min 57 sec,136 km,672 m,35 cm,1317253,389520,50515,585,51035,999507,0,0,120 days 7 hours 59 min 10 sec
300,2021 feb. 09 00:00:04,142 days 23 hours 44 min 58 sec,138 km,249 m,12 cm,1328354,391824,50525,590,51156,1004225,0,0,120 days 15 hours 15 min 9 sec
301,2021 feb. 10 00:00:36,143 days 23 hours 45 min 30 sec,139 km,168 m,66 cm,1341627,394064,50529,590,51314,1009877,0,0,121 days 9 hours 27 min 34 sec
302,2021 feb. 11 00:00:44,144 days 23 hours 45 min 38 sec,140 km,572 m,96 cm,1360324,398421,50636,593,51804,1021595,0,0,122 days 1 hours 31 min 56 sec
303,2021 feb. 12 08:45:02,146 days 8 hours 29 min 55 sec,141 km,535 m,0 cm,1373502,400911,51088,593,52163,1028277,0,0,123 days 5 hours 22 min 2 sec
304,2021 feb. 13 09:49:18,146 days 19 hours 7 min 46 sec,142 km,403 m,55 cm,1384688,404176,51106,593,52510,1036196,0,0,123 days 10 hours 56 min 49 sec
305,2021 feb. 16 11:39:21,147 days 2 hours 20 min 39 sec,142 km,419 m,46 cm,1384692,404231,51106,593,52513,1036275,0,0,126 days 12 hours 42 min 32 sec
306,2021 feb. 17 09:09:22,147 days 23 hours 49 min 1 sec,143 km,14 m,59 cm,1385354,404948,51109,593,52576,1040047,0,0,127 days 7 hours 7 min 38 sec
307,2021 feb. 18 00:00:23,148 days 14 hours 40 min 2 sec,144 km,75 m,11 cm,1396683,408153,51146,593,52834,1049400,0,0,127 days 15 hours 36 min 52 sec
308,2021 feb. 19 08:20:19,149 days 22 hours 59 min 57 sec,144 km,112 m,32 cm,1397715,408261,51146,593,52839,1049795,0,0,128 days 23 hours 42 min 27 sec
309,2021 feb. 23 10:58:50,150 days 13 hours 58 min 54 sec,145 km,165 m,10 cm,1409255,410546,51172,595,53008,1054065,0,0,129 days 7 hours 54 min 31 sec
310,2021 feb. 24 08:59:26,151 days 11 hours 59 min 30 sec,145 km,805 m,73 cm,1417752,411998,51194,595,53110,1057371,0,0,129 days 11 hours 33 min 10 sec
311,2021 feb. 27 05:34:23,151 days 21 hours 21 min 55 sec,146 km,548 m,90 cm,1428483,414655,51228,600,53242,1065076,0,0,129 days 16 hours 25 min 26 sec
312,2021 feb. 28 01:11:53,152 days 16 hours 59 min 24 sec,146 km,630 m,84 cm,1428648,415003,51230,602,53301,1065638,0,0,130 days 11 hours 39 min 9 sec
313,2021 mar. 01 08:39:45,153 days 0 hours 15 min 25 sec,146 km,666 m,21 cm,1428793,415113,51230,602,53308,1065872,0,0,130 days 18 hours 47 min 37 sec
314,2021 mar. 02 08:26:31,154 days 0 hours 2 min 10 sec,147 km,873 m,68 cm,1449696,420618,51278,607,53980,1074200,0,0,131 days 2 hours 32 min 28 sec
315,2021 mar. 03 09:01:22,154 days 0 hours 8 min 52 sec,147 km,899 m,11 cm,1449928,420777,51287,607,54000,1074258,0,0,131 days 2 hours 32 min 28 sec
316,2021 mar. 04 09:12:59,155 days 0 hours 20 min 28 sec,149 km,416 m,81 cm,1463206,423742,51304,610,54257,1080758,0,0,131 days 8 hours 18 min 13 sec
